전철역명,전철명명(영문),호선,외부코드
검단사거리,Geomdan Sageori,인천2호선,I203
서구청,Seo-gu Office,인천2호선,I210
검바위,Geombawi,인천2호선,I208
검암,Geomam,인천2호선,I207
만수,Mansu,인천2호선,I224
남동구청,Namdong-gu Office,인천2호선,I225
아시아드경기장,Asiad Stadium,인천2호선,I209
마전,Majeon,인천2호선,I204
왕길,Wanggil,인천2호선,I202
독정,Dokjeong,인천2호선,I206
운연,Unyeon,인천2호선,I227
인천대공원,Incheon Grand Park,인천2호선,I226
가정,Gajeong,인천2호선,I211
계양,Gyeyang,인천1호선,I110
인천시청,Incheon City Hall,인천1호선,I124
인천터미널,Incheon Bus Terminal,인천1호선,I126
문학경기장,Munhak Sports Complex,인천1호선,I127
선학,Seonhak,인천1호선,I128
신연수,Sinyeonsu,인천1호선,I129
부평시장,Bupyeong Market,인천1호선,I119
부평구청,Bupyeong-gu Office,인천1호선,I118
임학,Imhak,인천1호선,I113
박촌,Bakchon,인천1호선,I112
갈산,Galsan,인천1호선,I117
부평삼거리,Bupyeongsamgeori,인천1호선,I122
동막,Dongmak,인천1호선,I132
원인재,Woninjae,인천1호선,I130
테크노파크,Technopark,인천1호선,I134
아라,Ara,인천1호선,I109
신검단중앙,Singeomdanjungang,인천1호선,I108
검단호수공원,Geomdan Lake Park,인천1호선,I107
동춘,Dongchun,인천1호선,I131
간석오거리,Ganseogogeori,인천1호선,I123
동수,Dongsu,인천1호선,I121
작전,Jakjeon,인천1호선,I116
센트럴파크,Central Park,인천1호선,I137
인천대입구,Incheon Nat'l Univ.,인천1호선,I136
지식정보단지,BIT Zone,인천1호선,I135
국제업무지구,Intl. Business District,인천1호선,I138
송도달빛축제공원,Songdo Moonlight Festival Park,인천1호선,I139
캠퍼스타운,Campus Town,인천1호선,I133
부평,Bupyeong,인천1호선,I120
경인교대입구,Gyeong-in Nat`l Univ. of Education,인천1호선,I115
계산,Gyesan,인천1호선,I114
귤현,Gyulhyeon,인천1호선,I111
예술회관,Arts Center,인천1호선,I125
